Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL
annualreportofbo1862smit,Annual report of the Board of Regents of the Smithsonian Institution,1862,464,https://library.si.edu/digital-library/book/annualreportofbo1862smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1862smit,https://archive.org/details/annualreportofbo1862smit
annualreportofbo1908smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1908,972,https://library.si.edu/digital-library/book/annualreportofbo1908smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1908smitfo,https://archive.org/details/annualreportofbo1908smitfo
smithsonianyear1974smit,Smithsonian year,1974,526,https://library.si.edu/digital-library/book/smithsonianyear1974smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1974smit,https://archive.org/details/smithsonianyear1974smit
annualreportofbo1956smit,Annual report of the Board of Regents of the Smithsonian Institution,1956,710,https://library.si.edu/digital-library/book/annualreportofbo1956smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1956smit,https://archive.org/details/annualreportofbo1956smit
annualreportofbo1918smit,Annual report of the Board of Regents of the Smithsonian Institution,1918,724,https://library.si.edu/digital-library/book/annualreportofbo1918smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1918smit,https://archive.org/details/annualreportofbo1918smit
annualreportfory1961united,Annual report for the year ended June 30 ...,1961,204,https://library.si.edu/digital-library/book/annualreportfory1961united,http://www.biodiversitylibrary.org/ia/annualreportfory1961united,https://archive.org/details/annualreportfory1961united
annualreportofbo1893smithso,Annual report of the Board of Regents of the Smithsonian Institution,1893 [Report of S.P. Langley],90,https://library.si.edu/digital-library/book/annualreportofbo1893smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1893smithso,https://archive.org/details/annualreportofbo1893smithso
annualreportofbo1930smit,Annual report of the Board of Regents of the Smithsonian Institution,1930,878,https://library.si.edu/digital-library/book/annualreportofbo1930smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1930smit,https://archive.org/details/annualreportofbo1930smit
annualreportofbo1911smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1911,832,https://library.si.edu/digital-library/book/annualreportofbo1911smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1911smitfo,https://archive.org/details/annualreportofbo1911smitfo
explorationsfiel193336smit,Explorations and field-work of the Smithsonian Institution in ..,1933-1936,380,https://library.si.edu/digital-library/book/explorationsfiel193336smit,http://www.biodiversitylibrary.org/ia/explorationsfiel193336smit,https://archive.org/details/explorationsfiel193336smit
annualreportofbo1901smith,Annual report of the Board of Regents of the Smithsonian Institution,1901,1216,https://library.si.edu/digital-library/book/annualreportofbo1901smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smith,https://archive.org/details/annualreportofbo1901smith
statementbysecre1980smit,Statement by the Secretary,1980,82,https://library.si.edu/digital-library/book/statementbysecre1980smit,http://www.biodiversitylibrary.org/ia/statementbysecre1980smit,https://archive.org/details/statementbysecre1980smit
smithsonianyears1991smit,Smithsonian year ... supplement : chronology and appendices,1991,226,https://library.si.edu/digital-library/book/smithsonianyears1991smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1991smit,https://archive.org/details/smithsonianyears1991smit
