,Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL,BHL Link URL
0,annualreportofbo1862smit,Annual report of the Board of Regents of the Smithsonian Institution,1862,464,https://library.si.edu/digital-library/book/annualreportofbo1862smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1862smit,https://archive.org/details/annualreportofbo1862smit,https://www.biodiversitylibrary.org/itempdf/38165
1,annualreportofbo1908smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1908,972,https://library.si.edu/digital-library/book/annualreportofbo1908smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1908smitfo,https://archive.org/details/annualreportofbo1908smitfo,https://www.biodiversitylibrary.org/itempdf/47955
2,smithsonianyear1974smit,Smithsonian year,1974,526,https://library.si.edu/digital-library/book/smithsonianyear1974smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1974smit,https://archive.org/details/smithsonianyear1974smit,https://www.biodiversitylibrary.org/itempdf/83468
3,annualreportofbo1956smit,Annual report of the Board of Regents of the Smithsonian Institution,1956,710,https://library.si.edu/digital-library/book/annualreportofbo1956smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1956smit,https://archive.org/details/annualreportofbo1956smit,https://www.biodiversitylibrary.org/itempdf/33453
4,annualreportofbo1918smit,Annual report of the Board of Regents of the Smithsonian Institution,1918,724,https://library.si.edu/digital-library/book/annualreportofbo1918smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1918smit,https://archive.org/details/annualreportofbo1918smit,https://www.biodiversitylibrary.org/itempdf/35807
5,annualreportfory1961united,Annual report for the year ended June 30 ...,1961,204,https://library.si.edu/digital-library/book/annualreportfory1961united,http://www.biodiversitylibrary.org/ia/annualreportfory1961united,https://archive.org/details/annualreportfory1961united,https://www.biodiversitylibrary.org/itempdf/99022
6,annualreportofbo1893smithso,Annual report of the Board of Regents of the Smithsonian Institution,1893 [Report of S.P. Langley],90,https://library.si.edu/digital-library/book/annualreportofbo1893smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1893smithso,https://archive.org/details/annualreportofbo1893smithso,https://www.biodiversitylibrary.org/itempdf/33401
7,annualreportofbo1930smit,Annual report of the Board of Regents of the Smithsonian Institution,1930,878,https://library.si.edu/digital-library/book/annualreportofbo1930smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1930smit,https://archive.org/details/annualreportofbo1930smit,https://www.biodiversitylibrary.org/itempdf/33479
8,annualreportofbo1911smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1911,832,https://library.si.edu/digital-library/book/annualreportofbo1911smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1911smitfo,https://archive.org/details/annualreportofbo1911smitfo,https://www.biodiversitylibrary.org/itempdf/49901
9,explorationsfiel193336smit,Explorations and field-work of the Smithsonian Institution in ..,1933-1936,380,https://library.si.edu/digital-library/book/explorationsfiel193336smit,http://www.biodiversitylibrary.org/ia/explorationsfiel193336smit,https://archive.org/details/explorationsfiel193336smit,https://www.biodiversitylibrary.org/itempdf/51765
10,annualreportofbo1901smith,Annual report of the Board of Regents of the Smithsonian Institution,1901,1216,https://library.si.edu/digital-library/book/annualreportofbo1901smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smith,https://archive.org/details/annualreportofbo1901smith,https://www.biodiversitylibrary.org/itempdf/35813
11,statementbysecre1980smit,Statement by the Secretary,1980,82,https://library.si.edu/digital-library/book/statementbysecre1980smit,http://www.biodiversitylibrary.org/ia/statementbysecre1980smit,https://archive.org/details/statementbysecre1980smit,https://www.biodiversitylibrary.org/itempdf/10781
12,smithsonianyears1991smit,Smithsonian year ... supplement : chronology and appendices,1991,226,https://library.si.edu/digital-library/book/smithsonianyears1991smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1991smit,https://archive.org/details/smithsonianyears1991smit,https://www.biodiversitylibrary.org/itempdf/12394
13,annualreportofbo18972smith,Annual report of the Board of Regents of the Smithsonian Institution,1897:pt.2 [Includes Report USNM],762,https://library.si.edu/digital-library/book/annualreportofbo18972smith,http://www.biodiversitylibrary.org/ia/annualreportofbo18972smith,https://archive.org/details/annualreportofbo18972smith,https://www.biodiversitylibrary.org/itempdf/35760
14,annualreportofbo1962smit,Annual report of the Board of Regents of the Smithsonian Institution,1962,746,https://library.si.edu/digital-library/book/annualreportofbo1962smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1962smit,https://archive.org/details/annualreportofbo1962smit,https://www.biodiversitylibrary.org/itempdf/33492
15,statementbysecre1978smit,Statement by the Secretary,1978,78,https://library.si.edu/digital-library/book/statementbysecre1978smit,http://www.biodiversitylibrary.org/ia/statementbysecre1978smit,https://archive.org/details/statementbysecre1978smit,https://www.biodiversitylibrary.org/itempdf/10762
16,annualreportofbo1910smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1910,864,https://library.si.edu/digital-library/book/annualreportofbo1910smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1910smitfo,https://archive.org/details/annualreportofbo1910smitfo,https://www.biodiversitylibrary.org/itempdf/51970
17,annualreportofbo1904smit,Annual report of the Board of Regents of the Smithsonian Institution,1904,1062,https://library.si.edu/digital-library/book/annualreportofbo1904smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1904smit,https://archive.org/details/annualreportofbo1904smit,https://www.biodiversitylibrary.org/itempdf/35806
18,smithsonianyear1968smit,Smithsonian year,1968,588,https://library.si.edu/digital-library/book/smithsonianyear1968smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1968smit,https://archive.org/details/smithsonianyear1968smit,https://www.biodiversitylibrary.org/itempdf/83466
19,annualreportfory1960united,Annual report for the year ended June 30 ...,1960,192,https://library.si.edu/digital-library/book/annualreportfory1960united,http://www.biodiversitylibrary.org/ia/annualreportfory1960united,https://archive.org/details/annualreportfory1960united,https://www.biodiversitylibrary.org/itempdf/99132
20,annualreportofbo1953smit,Annual report of the Board of Regents of the Smithsonian Institution,1953,592,https://library.si.edu/digital-library/book/annualreportofbo1953smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1953smit,https://archive.org/details/annualreportofbo1953smit,https://www.biodiversitylibrary.org/itempdf/35608
21,annualreportfory1963united,Annual report for the year ended June 30 ...,1963,244,https://library.si.edu/digital-library/book/annualreportfory1963united,http://www.biodiversitylibrary.org/ia/annualreportfory1963united,https://archive.org/details/annualreportfory1963united,https://www.biodiversitylibrary.org/itempdf/99020
22,explorationsfiel192729smit,Explorations and field-work of the Smithsonian Institution in ..,1927-1929,656,https://library.si.edu/digital-library/book/explorationsfiel192729smit,http://www.biodiversitylibrary.org/ia/explorationsfiel192729smit,https://archive.org/details/explorationsfiel192729smit,https://www.biodiversitylibrary.org/itempdf/53731
23,annualreportofbo1935smit,Annual report of the Board of Regents of the Smithsonian Institution,1935,734,https://library.si.edu/digital-library/book/annualreportofbo1935smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1935smit,https://archive.org/details/annualreportofbo1935smit,https://www.biodiversitylibrary.org/itempdf/53800
24,annualreportofbo1883smit,Annual report of the Board of Regents of the Smithsonian Institution,1883,1022,https://library.si.edu/digital-library/book/annualreportofbo1883smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1883smit,https://archive.org/details/annualreportofbo1883smit,https://www.biodiversitylibrary.org/itempdf/33457
25,annualreportfory1962united,Annual report for the year ended June 30 ...,1962,212,https://library.si.edu/digital-library/book/annualreportfory1962united,http://www.biodiversitylibrary.org/ia/annualreportfory1962united,https://archive.org/details/annualreportfory1962united,https://www.biodiversitylibrary.org/itempdf/99021
26,annualreportofbo1929smit,Annual report of the Board of Regents of the Smithsonian Institution,1929,748,https://library.si.edu/digital-library/book/annualreportofbo1929smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1929smit,https://archive.org/details/annualreportofbo1929smit,https://www.biodiversitylibrary.org/itempdf/53515
27,annualreportofbo18871smit,Annual report of the Board of Regents of the Smithsonian Institution,1887:pt.1,776,https://library.si.edu/digital-library/book/annualreportofbo18871smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18871smit,https://archive.org/details/annualreportofbo18871smit,https://www.biodiversitylibrary.org/itempdf/33418
28,annualreportofbo1867smith,Annual report of the Board of Regents of the Smithsonian Institution,1867,526,https://library.si.edu/digital-library/book/annualreportofbo1867smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1867smith,https://archive.org/details/annualreportofbo1867smith,https://www.biodiversitylibrary.org/itempdf/35757
29,annualreportofbo1901smit,Annual report of the Board of Regents of the Smithsonian Institution,1901,1216,https://library.si.edu/digital-library/book/annualreportofbo1901smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smit,https://archive.org/details/annualreportofbo1901smit,https://www.biodiversitylibrary.org/itempdf/35762
30,annualreportofbo1863smit,Annual report of the Board of Regents of the Smithsonian Institution,1863,442,https://library.si.edu/digital-library/book/annualreportofbo1863smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1863smit,https://archive.org/details/annualreportofbo1863smit,https://www.biodiversitylibrary.org/itempdf/35778
31,annualreportofbo1914smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1914,934,https://library.si.edu/digital-library/book/annualreportofbo1914smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1914smitfo,https://archive.org/details/annualreportofbo1914smitfo,https://www.biodiversitylibrary.org/itempdf/49900
32,smithsonianyear1975smit,Smithsonian year,1975,608,https://library.si.edu/digital-library/book/smithsonianyear1975smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1975smit,https://archive.org/details/smithsonianyear1975smit,https://www.biodiversitylibrary.org/itempdf/83469
33,annualreportfory1964united,Annual report for the year ended June 30 ...,1964,232,https://library.si.edu/digital-library/book/annualreportfory1964united,http://www.biodiversitylibrary.org/ia/annualreportfory1964united,https://archive.org/details/annualreportfory1964united,https://www.biodiversitylibrary.org/itempdf/99019
34,annualreportofbo1957smit,Annual report of the Board of Regents of the Smithsonian Institution,1957,606,https://library.si.edu/digital-library/book/annualreportofbo1957smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1957smit,https://archive.org/details/annualreportofbo1957smit,https://www.biodiversitylibrary.org/itempdf/53367
35,annualreportofbo1931smit,Annual report of the Board of Regents of the Smithsonian Institution,1931,720,https://library.si.edu/digital-library/book/annualreportofbo1931smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1931smit,https://archive.org/details/annualreportofbo1931smit,https://www.biodiversitylibrary.org/itempdf/35625
36,statementbysecre1981smit,Statement by the Secretary,1981,82,https://library.si.edu/digital-library/book/statementbysecre1981smit,http://www.biodiversitylibrary.org/ia/statementbysecre1981smit,https://archive.org/details/statementbysecre1981smit,https://www.biodiversitylibrary.org/itempdf/10762
37,annualreportofbo1857smit,Annual report of the Board of Regents of the Smithsonian Institution,1857,458,https://library.si.edu/digital-library/book/annualreportofbo1857smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1857smit,https://archive.org/details/annualreportofbo1857smit,https://www.biodiversitylibrary.org/itempdf/33413
38,annualreportofb1895smit,Annual report of the Board of Regents of the Smithsonian Institution,1895,1064,https://library.si.edu/digital-library/book/annualreportofb1895smit,http://www.biodiversitylibrary.org/ia/annualreportofb1895smit,https://archive.org/details/annualreportofb1895smit,https://www.biodiversitylibrary.org/itempdf/12151
39,explorationsfiel193032smit,Explorations and field-work of the Smithsonian Institution in ..,1930-1932,550,https://library.si.edu/digital-library/book/explorationsfiel193032smit,http://www.biodiversitylibrary.org/ia/explorationsfiel193032smit,https://archive.org/details/explorationsfiel193032smit,https://www.biodiversitylibrary.org/itempdf/53143
40,smithsonianyears1990smit,Smithsonian year ... supplement : chronology and appendices,1990,446,https://library.si.edu/digital-library/book/smithsonianyears1990smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1990smit,https://archive.org/details/smithsonianyears1990smit,https://www.biodiversitylibrary.org/itempdf/12392
41,annualreportofbo1963smit,Annual report of the Board of Regents of the Smithsonian Institution,1963,726,https://library.si.edu/digital-library/book/annualreportofbo1963smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1963smit,https://archive.org/details/annualreportofbo1963smit,https://www.biodiversitylibrary.org/itempdf/33475
42,annualreportofbo1915smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1915,704,https://library.si.edu/digital-library/book/annualreportofbo1915smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1915smitfo,https://archive.org/details/annualreportofbo1915smitfo,https://www.biodiversitylibrary.org/itempdf/51645
43,statementbysecre1979smit,Statement by the Secretary,1979,78,https://library.si.edu/digital-library/book/statementbysecre1979smit,http://www.biodiversitylibrary.org/ia/statementbysecre1979smit,https://archive.org/details/statementbysecre1979smit,https://www.biodiversitylibrary.org/itempdf/10761
44,annualreportofbo1905smit,Annual report of the Board of Regents of the Smithsonian Institution,1905 [Includes Report USNM],152,https://library.si.edu/digital-library/book/annualreportofbo1905smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1905smit,https://archive.org/details/annualreportofbo1905smit,https://www.biodiversitylibrary.org/itempdf/33343
45,smithsonianyeara9197smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1991-97,748,https://library.si.edu/digital-library/book/smithsonianyeara9197smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara9197smit,https://archive.org/details/smithsonianyeara9197smit,https://www.biodiversitylibrary.org/itempdf/83483
46,smithsonianyear1969smit,Smithsonian year,1969,736,https://library.si.edu/digital-library/book/smithsonianyear1969smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1969smit,https://archive.org/details/smithsonianyear1969smit,https://www.biodiversitylibrary.org/itempdf/83467
47,annualreportofbo1952smit,Annual report of the Board of Regents of the Smithsonian Institution,1952,534,https://library.si.edu/digital-library/book/annualreportofbo1952smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1952smit,https://archive.org/details/annualreportofbo1952smit,https://www.biodiversitylibrary.org/itempdf/35619
48,annualreportofbo1882smith,Annual report of the Board of Regents of the Smithsonian Institution,1882,896,https://library.si.edu/digital-library/book/annualreportofbo1882smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1882smith,https://archive.org/details/annualreportofbo1882smith,https://www.biodiversitylibrary.org/itempdf/33435
49,annualreportofbo1866smit,Annual report of the Board of Regents of the Smithsonian Institution,1866,494,https://library.si.edu/digital-library/book/annualreportofbo1866smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1866smit,https://archive.org/details/annualreportofbo1866smit,https://www.biodiversitylibrary.org/itempdf/10081
50,annualreportofbo1917smithso,Annual report of the Board of Regents of the Smithsonian Institution,1917,966,https://library.si.edu/digital-library/book/annualreportofbo1917smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1917smithso,https://archive.org/details/annualreportofbo1917smithso,https://www.biodiversitylibrary.org/itempdf/53289
51,smithsonianyears1989smit,Smithsonian year ... supplement : chronology and appendices,1989,450,https://library.si.edu/digital-library/book/smithsonianyears1989smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1989smit,https://archive.org/details/smithsonianyears1989smit,https://www.biodiversitylibrary.org/itempdf/12394
52,smithsonianyeara1982smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1982,656,https://library.si.edu/digital-library/book/smithsonianyeara1982smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1982smit,https://archive.org/details/smithsonianyeara1982smit,https://www.biodiversitylibrary.org/itempdf/83478
